"2012, Sargis Field Party"
"Division of Invertebrate Zoology, Yale Peabody Museum"
"Division of Paleobotany, Yale Peabody Museum"
"Division of Vertebrate Paleontology, Yale Peabody Museum"
"Division of Vertebrate Zoology, Yale Peabody Museum"
"Domian, J."
"Donihue, C. M."
"Donskaya, S."
"Drakopoulos, M."
"Dreifelds, H. L."
"Drew, D. J."
"Druc, I. C."
"Duhamel, G."
"Duke, E."
"Dunbar, C. O."
"Dunn, C. W."
"Duque, C. M."
"Durbin, O. L."
"Eakin, R. R."
"Eastman, J. T."
"Eaton, G. F."
"Eaton, K."
"Ebersole, J. A."
"Elder, L. E."
"Eliason, C. M."
"Ellsberg, L."
"Emory, F. M."
"Engelman, R. K."
"Epstein, L. E."
"Erritouni, Y."
"Eskind, E."
"Evans, J. W."
"Everett, A."
"Eytan, R. I."
"Faller, E. W."
"Farrell, U."
"Fedak, T."
"Feduccia, J. A."
"Feinberg, J."
"Fenstermaker, C."
"Ferrara, T."
"Ferrero, B. S."
"ffrench, J."
Firestone Diamonds
"Fish, D."
"Fitzgerald, V. Y."
"Fitzmaurice, R."
"Fitzpatick, B."
"Fitzpatrick, J. W."
"Fleming, A. C."
"Flora, G."
Fly on the Wall Productions
"Flynn, K. M."
"Follensbee, B."
"Foote, H. W."
"Forbes, H. M."
"Forrester, G."
"Fortunato, A. M."
"Fox, M."
"Frahm, E."
"Francis, L."
"Freeman, M. J."
"Freidburg, A."
"Freidenburg, L. K."
"Freund, R."
"Freyer, J."
"Friedman, K."
"Friedman, L."
"Friedman, L. N."
"Friedman, M."
"Fujishiro, O."
Full Send Productions
"Fuller, D."
"Gadson, O."
"Gahm, K. J."
"Gall, L. F."
"Galli, H."
"Galton, P. M."
"Galvet, D. A."
"Gamble, T."
"Gangloff, E. J."
"Garcia Lopez, C."
"Garcia-Ruiz, O."
"Gardner, C."
"Garrod, D. A."
"Gates, T."
"Gauthier, J. A."
"Getty, P. R."
"Giannoulias, C."
"Giddings, J. L."
"Giersz, M."
"Giles, S."
"Gill, B. C."
"Giordano, D."
"Giovas, C."
"Girvin, D."
"Gishlick, A. D."
"Gladman, J."
"Glass, J. R."
"Gleizer, V. E."
"Goetz, E. J."
"Goldberg, S."
"Goldsmith, E."
"Gomez-Colunga, A."
"Gontarski, S."
"Goodwin, A. P."
"Goodwin, R. C."
"Gordon, C."
"Gordon, R. B."
"Gore, C."
"Gormley, J. G."
"Goswami, A."
"Grafe, T. U."
"Graham, C."
"Graham, C. A."
"Granberry, J."
"Grant-Costa, P."
"Gray, J."
"Grayburn, R."
"Gredell, E."
"Greenbaum, E."
"Gresley, P."
"Griffin, C. T."
"Griffiths, S. L."
"Grosh, K."
Guadalupe Mountains National Park
"Gubser, N."
"Gunderson, G. O."
"Guo, A."
"Guth, W."
"Gutierrez, M."
"Hackett, S. J."
"Hahn, P. G."
"Hall, E. S."
"Hall, M."
"Handler, E."
"Hanlon, F. N."
"Hardy, M."
"Hark, R."
"Harrington, R. C."
"Hart, J. A."
"Hartman, L. M."
"Hartman, W. D."
"Hasel, G. S."
"Hasiotis, S. T."
"Hastings, A. K."
"Hastings, E."
"Hautier, L."
"Havens, J."
"Haynes, A."
"He, Y."
"Head, W. R."
"Hegna, T. A."
"Heiser, D. M."
"Hekkala, E. R."
"Hemmesch, N."
"Henderson, J. A."
"Henrey, L."
"Henrici, A. C."
"Heoge, C."
"Herne, M. C."
"Herrmann, C. A."
"Hestetun, J. T."
"Hikida, R. S."
"Hill, A. P."
"Hochgraf, S. B."
"Hofer, S. C."
"Hoffman, E. A."
"Hoffmann, S."
"Hole, F."
"Holy Cross Village, Alaska"
"Hong, A. F."
"Hopkins, F. V."
"Hopkins, T. C."
"Hoppenfeld, M."
"Horie, S."
"Hornaday, G. B."
"Hoser, R. T."
"Hotchkiss, F. H."
"Hou, J."
"Houlihan, A. J."
"House, R."
"Houston, S."
"Howard, A."
"Howard, A. S."
"Howard, R. R."
"Howell, E. R."
"Howells, C."
HSI-IMLS
"Hu, J."
"Hu, S."
"Huber, S. K."
"Hubold, G."
"Hughes, B."
"Hughes, N. C."
"Huhnke, H."
"Hull, P."
"Hunt-Foster, R."
"Hurlburt, S."
"Hurley, A."
"Huster, A."
"Hvizdak, P. R."
"Iaccarino, C."
"Icasiano, C."
"Ikram, S."
image
image
image
image
image
"Imperial Museum of Natural History, Vienna"
IP Staff (IPS)
"Irvine, S."
"Itano, W."
"Ivanova, T."
"Ivovic, M."
"Jacobs, H."
"Jaeger, T."
"James, E. M."
"Janes, G."
"Jaques, F. L."
"Jaramillo, D."
"Javadi, K."
"Jenkins, K. M."
"Jett, J."
"Jiang, L."
"Jin, J."
"Johnson, E."
"Johnson, G."
"Johnson, R."
"Johnston, A. B."
"Jolie, E. A."
"Jones, C. D."
"Jones, J. P."
"Jones, K. E."
"Jones, L. A."
"Jones, M."
"Joseph-Ouni, M."
"Jouan, R."
"Joyce, M."
"Joyce, W. G."
"Juan, S."
"Jukar, A. M."
"Juman, M."
"Jung, J."
"Juszkiewicz, D. J."
"Kaiser, H."
"Kater Pinto, T."
"Kaufman, C."
"Kaur, A. P."
"Keegan, J."
"Keller, D."
"Kerr, J."
"Kiani, S."
"Kiekhofer, M."
"Kiernan, C. R."
"Kim, D."
"Kim, Y."
"Kinney, A."
"Kirk, A. M."
"Kirkham, M."
"Kiviat, E."
"Kleindienst, M. R."
"Kleine, A."
"Klise, L. S."
"Knaf, A."
"Knaus, W."
"Knight, V. J."
"Knobloch, P. J."
"Knott, E."
"Kobayashi, Y."
"Koloski, D. C."
"Koobatian, N."
"Kouchoukos, N."
"Kracht, E."
"Krebs, K."
"Kuchuk, P. R."
"Kuhn, K. L."
"Kuhn, T. A."
"Kulik, Z. T."
"La Mesa, M."
"Laffan, C."
"Lai, J. E."
"Lambert, M. R."
"Lamp, F. J."
"Lamsdell, J. C."
"Lannoo, M. J."
"Lapp, E. C."
"Larson, E."
"Larson, E. E."
"Larson, M."
"Lash, C."
"Lassen, A."
"Lavitt, M."
"Lazarova, Y. P."
"Lazo-Wasem, E. A."
"Lazo-Wasem, E. M."
"Lazo-Wasem, J. E."
"Leary, R."
"LeBlanc, S."
"Lebrasseur, O."
"Lee, J."
"Lee, R."
"Leenders, A. A."
"Lefferts, H. L."
"Leidy, D."
"Leiss, A. C."
"Lemcke, J."
"Lenik, S."
"Lentz, T. L."
"Lepersonne, J."
"Li, R."
"Li, S."
"Li, Y."
"Li, Z."
"Licandro, P."
"Licato, J."
"Lieberman, B. S."
"Lin, J."
"Lind, H."
"Lindemann, R. L."
"Little, H."
"Loat, W. L."
"Lobe, J. C."
"Locatelli, E. R."
"Lockery, J."
"Lockhart, S. J."
"Lofgren, D. L."
"Lofton, S."
"Longrich, N. R."
"Lopez, I."
"Lord, A. D."
"Lord, C."
"Lorenz, R. A."
"Lott, T. A."
"Luchs, A. L."
"Lull, R. S."
"Lundberg, E. R."
"Luokkala, B. L."
"Luque, J."
"Luquiens, H."
"Lutz, C."
"Lyson, T. R."
"MacClintock, C."
"MacCurdy, G. G."
"MacGuigan, D. J."
"Macheski, A."
"MacLaren, J."
"MacPhee, R. D."
"Mahmood, B."
"Maisano, J. A."
"Male, J. E."
"Malik, O."
"Mallet, C."
"Mallon, J. C."
"Maltese, A."
"Mangano, M. G."
"Manuscripts & Archives, Sterling Memorial Library, Yale University"
"Marks, B. D."
"Marosse, M."
"Marsh, O. C."
"Marshall, G. E."
"Marsland, M."
"Martin, C. H."
"Mason, N. I."
Masterpieces of the Earth LLC
"Matallanas, J."
"Mauro-Brown, S."
"May, P."
"McBride, F. S."
"McCance, T."
"McCormick, D. R."
"McCown, T. D."
"McCoy, V."
"McCune, A. R."
"McDavid, S."
"McDonald, S."
"McEnaney, L."
"McGuire, T."
"McIntosh, G. C."
"McIntosh, R."
"McKinney, N."
"McKusick, M. B."
"McMahon, M. K."
"McMahon, S."
"McVay, N."
"Meade, S."
"Mealey, B."
"Mehling, C."
"Melien, A."
"Mellenthin, L."
"Menot, J. C."
"Merrill, C."
"Merriman, A. M."
"Metz, E."
"Meyer, D."
"Meyer, R. C."
"Mickleburgh, H. L."
"Middleton, J."
"Mills, W. C."
"Mink, P."
"Mirza, A."
"Miyamae, J. A."
"Miyame, J."
"Mock, L."
"Moelling, L."
"Monics, F."
"Moore, B. P."
"Moore, J. A."
"Moreira, E."
"Moret, C."
"Morgan, A."
"Morgan, R. J."
"Moritz, H."
"Morley, E."
"Morrell, E. H."
"Morse, B. F."
"Moser, W. E."
"Mossman, A. J."
"Mossman, M. J."
"Motz, G. J."
"Moulin, L."
"Moyer, J. K."
"Munroe, T. A."
"Munstermann, L. E."
"Murphy, S."
"Murray-Nelson, H."
Musee du quai Branly-Jacques Chirac
"Najjar, C."
"Narducci, R."
National Folk Museum of Korea
Nature Publishing Group
"Near, T. J."
Nevada Museum of Art
NEVP/DEWA/GRID-Geneva
New Mexico Museum of Natural History and Science
"Newman, K."
"Nguyen, L. T."
"Nicolescu, S."
"Niederreiter, Z."
"Nielsen, M. E."
"Niemiller, M. L."
"Nieuwenhuizen, L."
"Nishimura, A. C."
"Niven, J."
"Nivens, J."
"Noack, G."
"Noakes, L. C."
"Noble, P. J."
"Nocera, T."
"Nolan, V."
"Norris, C. A."
"Nur, N."
"Nwainokpor, J."
"O'Brien, F."
"Ogora, N."
"Oliveira, C."
"Oliver, J. R."
"Oliver, M. K."
"Olroyd, S. L."
"Olsen, P. E."
"Olson, L. E."
"Olson, O."
"Ono, A. M."
Oregon Museum of Science and Industry
"Orr, J. W."
"Orr, O. D."
"Ortega-Hern ndez, J."
"Ortiz, M. S."
"Osgood, C. B."
"Osi, A."
"Ostapkowicz, J."
"Ostrom, J. H."
"O'Sullivan, L."
"Ou, Z. X."
"Oury, N."
"Pace, M. C."
"Padden, C. K."
"Painter, R. H."
"Palffy-Muhoray, N. M."
"Pallatto, S."
"Pape, A."
"Pari, G."
"Parisi, E."
"Park Boush, L."
"Park, D. P."
"Parker, C. E."
"Parlapiano, T. W."
"Parry, L."
"Patel, B. A."
"Pates, S."
"Paull, S. H."
"Pavlova, R."
PB Staff (PBS)
"Pearsall, D. M."
"Peavey, E."
"Peet, T. E."
"Perakos, S. P."
"P‚rez-Garc¡a, A."
"Perez-Peris, F."
"Perkons, E. S."
"Perry, P."
"Persons, A."
"Petermann, H."
"Petersen, A."
"Peterson, J. E."
"Pfaff, N."
"Pickman, S."
"Pietra, G. G."
"Pineda, T."
"Pinkston, E."
"Pippenger, K."
"Pisano, E."
"Pitt, K."
"Plotnick, R. E."
"Poggi, E."
"Polly, P. D."
"Porter, S. C."
"Pospisil, M. J."
"Poulin, S."
"Prangley, M."
"Prejean, J. A."
"Prieto-M rquez, A."
"Prior, M."
"Prosek, J. O."
"Pruss, S."
Publications of the Pennsylvania Expeditions to Egypt
"Pugh, P. R."
"Pupedis, R. J."
"Putnam, D. E."
"Quinnipiac University, Department of Biological Sciences"
R/V Henry Bigelow
R/V Pisces (PC14-04)
"Radillo, A. I."
"Rahman, I. A."
"Rainey, F. G."
"Rammutloa, K."
"Rampa, R."
"Randall, K. A."
"Randall, Z. S."
"Ranges, J."
"Ranlett, S."
"Rasmussen, J."
"Rasolondrainy, R. T."
"Reed, C. A."
"Reed, C. K."
"Reed, M."
"Reese, D. S."
"Reilly, K."
"Remick, T. G."
"Rennie, N."
"Renton, C."
"Renzetti, D."
"Reynolds, R. G."
"Rhue, V. R."
"Ricardi, T."
"Rice, S. F."
"Richardson, D. J."
"Richardson, S. L."
"Rider, S. J."
"Ridgely, R. C."
"Rios, N."
"Ripley, S. D."
"Ristvet, L."
"Rivas, A."
"Roach, B. T."
"Roberts, K."
"Robson, S. V."
"Rodrigues, S. R."
"Rodriguez Lopez, J. A."
"Rodriguez, E."
"Rodriguez, J."
"Rogalski, M. A."
"Rohr, D. M."
"Rojas, L. M."
"Romain, H."
"Rosado, J."
"Rountrey, A. N."
"Rouse, B. I."
"Rowe, A. P."
Royal Society Open Science
"Rubinstein, A. D."
"Ruebenstahl, A."
"Rupp, D. W."
"Sacco, W. K."
Sadhu
"Safford, J. M."
"Sanchez, D."
"Sanders, A."
"Sanders, K."
"Sargis, E. J."
"Sarnosky, B."
"Sartenaer, P."
"Sato, K."
"Sauffian, N."
"Savoy, T. F."
"Schaeffer, A."
"Schaffer, W. C."
"Scheibe, E."
"Schuchert, C."
Schwartz
Schwartz Sifaka Database - primary contributors committee
"Schwartz, A."
"Schwartz, D. W."
"Schwartz, G."
"Schwarz, J."
"Scielzo, A."
"Scovil, J."
"Sease, C."
Sedgwick County Zoo
"Selig, K. R."
"Sellards, E. H."
"Sellon, L."
"Sequeira, S."
"Serrano, A. D."
"Seymour, K."
"Shaffer, B."
"Shamble, P."
"Shang, X."
"Shapiro, H."
"Shapiro, S. E."
"Shaw, J. O."
"Shay, L."
"Shea, E. K."
"Sheahan, M."
"Shemer, M."
"Shepack, A. D."
"Sheridan, F."
"Short, G."
"Shuman, E."
"Sidell, B."
"Sigal, J."
"Silverberg, J."
"Silverstein, J. L."
"Sime, J."
"Simon, C."
"Simpson, W. K."
"Sims, E."
"Sims, M."
"Sirch, J."
"Skabelund, J."
"Skelly, D. K."
"Slawski, J."
"Slotwiner-Nie, S."
"Smith Paredes, D."
"Smith, C. A."
"Smith, F. S."
"Smith, K. T."
"Smith, M. C."
"Smith, P."
"Smith, R. C."
Smithsonian Institution
"Snow, S. S."
"Snyderman, L."
"Socik, A."
"Solomon, J. C."
"Somani, K."
"Sorojsrisom, E. S."
"Sourakov, A."
"Southon, J. R."
"Sparks, J."
"Spence, J. L."
Spirifer Minerals
"Sproch, H. J."
"Stadtmauer, D."
"Stanford, S."
"Staudter, M."
"Stefano, C. J."
"Stegmaier, E."
"Stein, M."
"Stenger, J."
"Stephens, R. B."
"Stepule, P. L."
"Sternberg, C. M."
"Sterry, G."
"Stevenson, D."
"Stock, C. W."
"Stoehr, A."
"Stoner, K."
"Street, H. P."
"Street, S."
"Su rez-Atilano, M."
"Sues, H."
"Sullivan, J."
"Sullivan, M."
"Surprenant, J. M."
"Swansey, N."
"Sweeney, P. W."
"Sweitzer, J. L."
"Swerling, R."
"Syed, Z."
"Szab¢, M."
"Szaszfai, J."
"Taboada, A. C."
"Tacconi, S."
"Taft, A."
"Tait, A. M."
"Tamburri, C. W."
"Tanaka, K."
"Tang, S."
"Tarhan, L."
"Tarnopol, J."
"Taylor, D."
"Taylor, D. J."
"Taylor, J."
"Taylor, J. F."
"Taylor, N."
"Taylor, N. D."
text
text
"Thaureau, M."
The Bead Society of Greater Washington
"The Fralin Museum of Art, The University of Virginia"
"Theodor, J. M."
"Theurer, M."
"Thomalsky, J."
"Thomas, E."
"Thomas, M. J."
"Thomas, M. R."
"Thompson, J. W."
"Thomson, R. C."
"Thorpe, M. R."
"Tillyard, R. J."
"Ting, V."
"Tobin, T."
"Todd, A. R."
"Toledo, N."
"Tonoike, Y."
"Tracey, O. C."
"Tran, N."
"Trewin, S. A."
"Tridenti, S."
Triebold Paleontology
"Trigger, B. G."
"Trommer, H."
"Tsuihiji, T."
"Tunney, R."
"Turner, M. A."
"Turner, T."
"Turvey, S."
"Twenhofel, W. H."
U.S. Geological Survey
"Uccello, A. J."
"Underhill, A."
"United States Fish and Wildlife Service, Law Enforcement, New York Office"
unknown
Unknown Photographer
"Unruh-Friesen, E."
"Urbani, B."
"Urcia, A."
"Utrup, J."
"Utrup, N. P."
"Vacchi, M."
"Van Aken, A."
"Van Alst, E. C."
"Van Roy, P."
"Van Thienen, V."
"VanderHoof, V. L."
"Vankelst, M."
"Vanover, C."
"Vargas-Parra, E."
"V zquez-Dom¡nguez, E."
"Vecchione, M."
"Velasquez, K."
"Verma, N."
"Verrill, A. E."
"Vescelius, G. S."
video
video
video
video
video
"Vinson, S."
"Vipper, J."
"Vitek, N. S."
"Voight, K."
"Von Allmen, J."
"von Lendenfeld, R."
"Voorhies, B."
"Vrazo, M. B."
"Wagensonner, K."
"Wagner, E. L."
"Wagner, G. P."
"Wainwright, P. C."
"Waldo, L."
"Waldron, L."
"Walkden, H. H."
"Walls, K."
"Wang, C."
"Wang, G."
Wari Photography Project
"Warren, A. D."
"Watanabe, M. E."
"Watkins-Colwell, G. J."
"Watso, S."
"Wcychowski, J."
"Weaver, L. N."
"Webb, A."
"Weed, E. E."
"Weeks, K. R."
"Weinstein, W. D."
"Weisbecker, V."
"Weiss, H."
"Wendt, W. E."
"Wentzel, E."
"Wheeler, R. G."
"White, E. D."
"White, R. D."
"Whitele, T. E."
"Whittemore, T."
"Wible, J. R."
"Wieland, G. R."
"Wiggers, J."
"Wiggers, K."
Wildlife Conservation Society (WCS)
"Wiley, P."
"Wilkins, J. R."
"Williams, S."
"Williamson, T. E."
"Willis, R. F."
"Wilson Mantilla, G. P."
"Wilson, J. P."
"Winchell, H."
"Wise, R."
"Witherspoon, T."
"Witmer, L. M."
"Witter, J."
"Wolfe, A. M."
"Wolff, N. M."
"Wolfhagen, J."
"Wong, C."
"Wong, M."
"Wooten, B."
Worcester Art Museum
"Woronik, A."
"Wu, T."
"Wujcik, J. M."
"Wulff, J. L."
"Wunderlich, R."
Yale Babylonian Collection Staff
Yale ITS Media Services
Yale News
Yale Peabody Museum
Yale Peabody Museum Archives
Yale Peabody Museum Staff
"Yale Peabody Museum, Exhibits"
Yale University Art Gallery
Yale University News Bureau
"Yale University, Office of Public Affairs and Communication"
"Yamamoto, Y."
"Yeshurun, R."
"Yetter, W."
"York, F."
"Yorks, D. T."
"Young Wolf, R."
YPM Botany Digitization Staff (2018)
YPM Entomology Division Staff
YPM Vertebrate Paleontology Staff
YPM Vertebrate Zoology staff
"Yu, A."
"Zack, S. P."
"Zailaa, J."
"Zallinger, R. F."
"Zanno, L. E."
"Zappalorti, R. T."
"Zarate, B. R."
"Zeiss, C. J."
"Zelenitsky, D. K."
"Zhang, A. L."
"Zhang, J."
"Zhang, Y."
"Zhao, D."
"Zhe-Xi, L."
"Zhu, J."
"Zirlin, J."
"Zordan, J. R."
"Zyskowski, K."
